Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-03-13,318.0,1485.0,115.5,3,13,0,0,472.0,235.0,421.0,883.5,950.0,796.5,320.0,173.0,642.0,1,0,0,0,0,0,0
2023-03-14,833.25,4742.0,410.0,3,14,0,0,318.0,1004.0,338.0,115.5,332.0,764.0,1485.0,327.5,70.0,0,1,0,0,0,0,0
2023-03-15,0.0,1140.0,899.0,3,15,0,0,833.25,371.0,1228.0,410.0,1024.0,210.0,4742.0,528.0,1354.5,0,0,1,0,0,0,0
2023-03-16,164.5,25005.0,170.0,3,16,0,0,0.0,252.0,85.0,899.0,96.0,438.0,1140.0,695.5,1050.0,0,0,0,1,0,0,0
2023-03-17,260.0,400.0,1164.5,3,17,1,0,164.5,290.0,369.0,170.0,286.5,483.0,25005.0,231.0,472.5,0,0,0,0,1,0,0
2023-03-18,111.0,191.0,660.0,3,18,1,0,260.0,838.5,80.0,1164.5,1321.0,131.0,400.0,734.0,442.0,0,0,0,0,0,1,0
2023-03-19,81.0,114.0,254.0,3,19,0,0,111.0,472.0,86.0,660.0,883.5,728.0,191.0,320.0,416.5,0,0,0,0,0,0,1
2023-03-20,0.0,574.0,306.0,3,20,0,0,81.0,318.0,56.0,254.0,115.5,880.0,114.0,1485.0,300.5,1,0,0,0,0,0,0
2023-03-21,0.0,518.0,0.0,3,21,0,0,0.0,833.25,256.0,306.0,410.0,127.0,574.0,4742.0,137.0,0,1,0,0,0,0,0
2023-03-22,65.0,1185.0,149.0,3,22,0,0,0.0,0.0,0.0,0.0,899.0,0.0,518.0,1140.0,278.0,0,0,1,0,0,0,0
2023-03-23,0.0,471.0,0.0,3,23,0,0,65.0,164.5,0.0,149.0,170.0,271.0,1185.0,25005.0,17764.0,0,0,0,1,0,0,0
2023-03-24,0.0,300.0,0.0,3,24,1,0,0.0,260.0,120.0,0.0,1164.5,612.0,471.0,400.0,39.0,0,0,0,0,1,0,0
2023-03-25,0.0,0.0,0.0,3,25,1,0,0.0,111.0,404.0,0.0,660.0,513.0,300.0,191.0,325.0,0,0,0,0,0,1,0
2023-03-26,0.0,580.0,0.0,3,26,0,0,0.0,81.0,293.0,0.0,254.0,921.5,0.0,114.0,1619.0,0,0,0,0,0,0,1
2023-03-27,0.0,760.0,160.0,3,27,0,0,0.0,0.0,248.0,0.0,306.0,321.5,580.0,574.0,447.5,1,0,0,0,0,0,0
2023-03-28,0.0,208.0,45.0,3,28,0,0,0.0,0.0,42.5,160.0,0.0,349.0,760.0,518.0,665.0,0,1,0,0,0,0,0
2023-03-29,0.0,545.75,257.0,3,29,0,0,0.0,65.0,672.0,45.0,149.0,381.0,208.0,1185.0,970.0,0,0,1,0,0,0,0
2023-03-30,0.0,467.0,75.0,3,30,0,0,0.0,0.0,558.0,257.0,0.0,1062.0,545.75,471.0,1027.0,0,0,0,1,0,0,0
2023-03-31,0.0,316.0,147.0,3,31,1,0,0.0,0.0,156.0,75.0,0.0,361.0,467.0,300.0,40.0,0,0,0,0,1,0,0
2023-04-01,0.0,790.0,0.0,4,1,1,0,0.0,0.0,203.0,147.0,0.0,438.0,316.0,0.0,1126.0,0,0,0,0,0,1,0
2023-04-02,0.0,266.0,60.0,4,2,0,0,0.0,0.0,117.0,0.0,0.0,35.0,790.0,580.0,458.0,0,0,0,0,0,0,1
