Date,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-03-05,839.0,4099.5,632.1,3,5,6,0,0,5570.6,2877.3,4697.4,3429.0,275.0,1498.4,968.0,674.8,573.0,565.0,1927.5,2626.0,1896.0
2023-03-06,766.0,2249.5,385.0,3,6,0,0,0,3400.5,5570.6,3469.7,4927.0,839.0,956.9,1994.0,632.1,575.0,247.0,4099.5,1937.8,2686.0
2023-03-07,486.0,3413.5,728.0,3,7,1,0,0,4627.5,3400.5,5130.5,2921.9,766.0,1214.0,886.4,385.0,523.0,569.5,2249.5,3393.5,1466.0
2023-03-08,187.0,2141.0,693.0,3,8,2,0,0,3021.0,4627.5,4699.0,3627.4,486.0,765.0,1550.4,728.0,451.0,125.0,3413.5,3483.0,1952.0
2023-03-09,804.0,3054.0,529.7,3,9,3,0,0,4387.7,3021.0,2563.0,6420.4,187.0,88.0,1751.4,693.0,381.0,969.0,2141.0,2094.0,3700.0
2023-03-10,956.0,1376.0,638.0,3,10,4,1,0,2970.0,4387.7,2987.0,2676.0,804.0,50.0,745.0,529.7,345.0,258.0,3054.0,2592.0,1673.0
2023-03-11,241.0,1807.0,1087.4,3,11,5,1,0,3135.4,2970.0,2877.3,5000.4,956.0,275.0,825.0,638.0,674.8,801.0,1376.0,1927.5,3374.4
2023-03-12,458.0,1834.0,675.0,3,12,6,0,0,2967.0,3135.4,5570.6,3585.5,241.0,839.0,456.0,1087.4,632.1,570.5,1807.0,4099.5,2559.0
2023-03-13,342.0,1895.5,1103.0,3,13,0,0,0,3340.5,2967.0,3400.5,4399.5,458.0,766.0,1229.0,675.0,385.0,973.5,1834.0,2249.5,2197.0
2023-03-14,222.0,2555.5,260.0,3,14,1,0,0,3037.5,3340.5,4627.5,6232.0,342.0,486.0,997.0,1103.0,728.0,1196.0,1895.5,3413.5,4039.0
2023-03-15,364.0,1855.5,174.0,3,15,2,0,0,2393.5,3037.5,3021.0,4956.0,222.0,187.0,924.0,260.0,693.0,282.0,2555.5,2141.0,3750.0
2023-03-16,274.5,2499.0,390.0,3,16,3,0,0,3163.5,2393.5,4387.7,5022.4,364.0,804.0,340.4,174.0,529.7,526.0,1855.5,3054.0,4156.0
2023-03-17,1188.0,1478.0,503.0,3,17,4,1,0,3169.0,3163.5,2970.0,4179.0,274.5,956.0,432.0,390.0,638.0,1566.0,2499.0,1376.0,2181.0
2023-03-18,590.0,1493.0,718.0,3,18,5,1,0,2801.0,3169.0,3135.4,6072.5,1188.0,241.0,1215.0,503.0,1087.4,1259.0,1478.0,1807.0,3598.5
2023-03-19,629.0,1207.0,365.0,3,19,6,0,0,2201.0,2801.0,2967.0,4889.5,590.0,458.0,1749.5,718.0,675.0,689.0,1493.0,1834.0,2451.0
2023-03-20,356.0,3182.0,252.0,3,20,0,0,0,3790.0,2201.0,3340.5,6738.4,629.0,342.0,2197.4,365.0,1103.0,1026.0,1207.0,1895.5,3515.0
2023-03-21,449.0,1855.0,325.0,3,21,1,0,0,2629.0,3790.0,3037.5,6801.22,356.0,222.0,1505.0,252.0,260.0,844.0,3182.0,2555.5,4452.22
2023-03-22,244.0,2154.0,1267.0,3,22,2,0,0,3665.0,2629.0,2393.5,4115.0,449.0,364.0,578.0,325.0,174.0,908.0,1855.0,1855.5,2629.0
2023-03-23,536.0,2598.0,268.0,3,23,3,0,1,3402.0,3665.0,3163.5,5030.5,244.0,274.5,1040.0,1267.0,390.0,965.0,2154.0,2499.0,3025.5
2023-03-24,344.0,1580.0,310.0,3,24,4,1,0,2234.0,3402.0,3169.0,4673.0,536.0,1188.0,1319.0,268.0,503.0,785.0,2598.0,1478.0,2569.0
2023-03-25,100.0,1319.0,375.0,3,25,5,1,0,1794.0,2234.0,2801.0,3878.0,344.0,590.0,766.0,310.0,718.0,259.0,1580.0,1493.0,2853.0
2023-03-26,604.0,1374.0,539.0,3,26,6,0,0,2517.0,1794.0,2201.0,4715.0,100.0,629.0,873.0,375.0,365.0,1012.0,1319.0,1207.0,2830.0
2023-03-27,262.0,1131.0,371.0,3,27,0,0,0,1764.0,2517.0,3790.0,6049.0,604.0,356.0,798.0,539.0,252.0,1087.0,1374.0,3182.0,4164.0
2023-03-28,519.0,1767.0,339.0,3,28,1,0,0,2625.0,1764.0,2629.0,4697.4,262.0,449.0,1498.4,371.0,325.0,573.0,1131.0,1855.0,2626.0
2023-03-29,305.0,748.0,190.0,3,29,2,0,0,1243.0,2625.0,3665.0,3469.7,519.0,244.0,956.9,339.0,1267.0,575.0,1767.0,2154.0,1937.8
2023-03-30,92.0,1161.5,0.0,3,30,3,0,0,1253.5,1243.0,3402.0,5130.5,305.0,536.0,1214.0,190.0,268.0,523.0,748.0,2598.0,3393.5
2023-03-31,160.0,1642.0,341.0,3,31,4,1,0,2143.0,1253.5,2234.0,4699.0,92.0,344.0,765.0,0.0,310.0,451.0,1161.5,1580.0,3483.0
2023-04-01,407.0,479.0,0.0,4,1,5,1,0,886.0,2143.0,1794.0,2563.0,160.0,100.0,88.0,341.0,375.0,381.0,1642.0,1319.0,2094.0
2023-04-02,297.0,1384.0,390.0,4,2,6,0,0,2071.0,886.0,2517.0,2987.0,407.0,604.0,50.0,0.0,539.0,345.0,479.0,1374.0,2592.0
2023-04-03,0.0,1890.5,429.0,4,3,0,0,0,2319.5,2071.0,1764.0,2877.3,297.0,262.0,275.0,390.0,371.0,674.8,1384.0,1131.0,1927.5
2023-04-04,45.0,1224.0,499.0,4,4,1,0,0,1768.0,2319.5,2625.0,5570.6,0.0,519.0,839.0,429.0,339.0,632.1,1890.5,1767.0,4099.5
2023-04-05,266.0,1321.0,1647.0,4,5,2,0,0,3234.0,1768.0,1243.0,3400.5,45.0,305.0,766.0,499.0,190.0,385.0,1224.0,748.0,2249.5
2023-04-06,1094.0,1858.0,703.0,4,6,3,0,0,3655.0,3234.0,1253.5,4627.5,266.0,92.0,486.0,1647.0,0.0,728.0,1321.0,1161.5,3413.5
2023-04-07,554.0,2188.5,1223.0,4,7,4,1,0,3965.5,3655.0,2143.0,3021.0,1094.0,160.0,187.0,703.0,341.0,693.0,1858.0,1642.0,2141.0
2023-04-08,414.0,636.0,605.0,4,8,5,1,0,1655.0,3965.5,886.0,4387.7,554.0,407.0,804.0,1223.0,0.0,529.7,2188.5,479.0,3054.0
2023-04-09,101.0,1853.0,339.0,4,9,6,0,0,2293.0,1655.0,2071.0,2970.0,414.0,297.0,956.0,605.0,390.0,638.0,636.0,1384.0,1376.0
2023-04-10,857.0,2563.5,1658.0,4,10,0,0,0,5078.5,2293.0,2319.5,3135.4,101.0,0.0,241.0,339.0,429.0,1087.4,1853.0,1890.5,1807.0
2023-04-11,114.0,365.5,970.0,4,11,1,0,0,1449.5,5078.5,1768.0,2967.0,857.0,45.0,458.0,1658.0,499.0,675.0,2563.5,1224.0,1834.0
2023-04-12,248.0,1099.0,579.0,4,12,2,0,0,1926.0,1449.5,3234.0,3340.5,114.0,266.0,342.0,970.0,1647.0,1103.0,365.5,1321.0,1895.5
2023-04-13,782.0,1391.5,302.5,4,13,3,0,0,2476.0,1926.0,3655.0,3037.5,248.0,1094.0,222.0,579.0,703.0,260.0,1099.0,1858.0,2555.5
2023-04-14,557.0,436.0,711.75,4,14,4,1,0,1704.75,2476.0,3965.5,2393.5,782.0,554.0,364.0,302.5,1223.0,174.0,1391.5,2188.5,1855.5
2023-04-15,580.0,1337.0,85.0,4,15,5,1,0,2002.0,1704.75,1655.0,3163.5,557.0,414.0,274.5,711.75,605.0,390.0,436.0,636.0,2499.0
