Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-01-31,420.0,0.0,0.0,1,31,0,0,0.0,260.0,0.0,500.0,300.0,605.0,0.0,0.0,0.0,0,1,0,0,0,0,0
2023-02-01,0.0,0.0,380.0,2,1,0,0,420.0,0.0,0.0,0.0,100.0,405.0,0.0,35.0,0.0,0,0,1,0,0,0,0
2023-02-02,20.0,0.0,125.0,2,2,0,0,0.0,0.0,190.0,380.0,155.0,0.0,0.0,35.0,300.0,0,0,0,1,0,0,0
2023-02-03,100.0,0.0,455.0,2,3,1,0,20.0,90.0,0.0,125.0,70.0,350.0,0.0,80.0,0.0,0,0,0,0,1,0,0
2023-02-04,20.0,0.0,435.0,2,4,1,0,100.0,500.0,0.0,455.0,165.0,355.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2023-02-05,0.0,0.0,20.0,2,5,0,0,20.0,0.0,0.0,435.0,75.0,265.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2023-02-06,0.0,215.0,0.0,2,6,0,0,0.0,0.0,0.0,20.0,500.0,230.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2023-02-07,185.0,0.0,245.0,2,7,0,0,0.0,420.0,90.0,0.0,0.0,425.0,215.0,0.0,160.0,0,1,0,0,0,0,0
2023-02-08,395.0,0.0,370.0,2,8,0,0,185.0,0.0,40.0,245.0,380.0,130.0,0.0,0.0,115.0,0,0,1,0,0,0,0
2023-02-09,125.0,0.0,160.0,2,9,0,0,395.0,20.0,0.0,370.0,125.0,215.0,0.0,0.0,0.0,0,0,0,1,0,0,0
2023-02-10,70.0,20.0,480.0,2,10,1,0,125.0,100.0,0.0,160.0,455.0,220.0,0.0,0.0,0.0,0,0,0,0,1,0,0
2023-02-11,20.0,505.0,0.0,2,11,1,0,70.0,20.0,0.0,480.0,435.0,310.0,20.0,0.0,40.0,0,0,0,0,0,1,0
2023-02-12,35.0,220.0,140.0,2,12,0,0,20.0,0.0,0.0,0.0,20.0,105.0,505.0,0.0,160.0,0,0,0,0,0,0,1
