Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-01-31,18571.0,2017.5,810.0,1,31,0,0,16866.0,18727.0,21807.0,2213.66,460.0,415.0,6194.4,2164.0,4395.0,0,1,0,0,0,0,0
2023-02-01,19690.5,2460.0,2662.0,2,1,0,0,18571.0,18909.0,20060.0,810.0,265.0,575.0,2017.5,5607.0,2958.0,0,0,1,0,0,0,0
2023-02-02,16773.0,7078.0,3682.0,2,2,0,0,19690.5,16259.0,19108.0,2662.0,290.0,735.0,2460.0,4537.0,3064.5,0,0,0,1,0,0,0
2023-02-03,17295.0,10907.52,407.0,2,3,1,0,16773.0,18920.0,19607.0,3682.0,1295.0,185.0,7078.0,10384.48,2584.5,0,0,0,0,1,0,0
2023-02-04,16846.0,2917.0,840.0,2,4,1,0,17295.0,22742.0,19086.0,407.0,40.0,462.0,10907.52,758.0,5348.0,0,0,0,0,0,1,0
2023-02-05,16334.0,17585.0,1896.0,2,5,0,0,16846.0,17135.0,19867.0,840.0,741.0,1425.0,2917.0,4076.0,21995.8,0,0,0,0,0,0,1
2023-02-06,17862.0,2203.0,2202.0,2,6,0,0,16334.0,16866.0,21957.0,1896.0,2213.66,0.0,17585.0,6194.4,2713.0,1,0,0,0,0,0,0
2023-02-07,18771.0,2008.0,762.0,2,7,0,0,17862.0,18571.0,12983.0,2202.0,810.0,590.0,2203.0,2017.5,1425.0,0,1,0,0,0,0,0
2023-02-08,18141.0,4136.0,495.0,2,8,0,0,18771.0,19690.5,12673.0,762.0,2662.0,207.5,2008.0,2460.0,1785.25,0,0,1,0,0,0,0
2023-02-09,18550.0,1464.0,1365.0,2,9,0,0,18141.0,16773.0,13339.0,495.0,3682.0,351.0,4136.0,7078.0,3809.5,0,0,0,1,0,0,0
2023-02-10,20402.0,15187.92,782.0,2,10,1,0,18550.0,17295.0,13176.0,1365.0,407.0,150.0,1464.0,10907.52,1178.0,0,0,0,0,1,0,0
2023-02-11,16293.0,2092.0,357.0,2,11,1,0,20402.0,16846.0,12376.0,782.0,840.0,525.0,15187.92,2917.0,620.0,0,0,0,0,0,1,0
2023-02-12,14957.0,2445.0,918.0,2,12,0,0,16293.0,16334.0,11347.0,357.0,1896.0,1290.25,2092.0,17585.0,10272.74,0,0,0,0,0,0,1
2023-02-13,17477.0,2098.0,1136.0,2,13,0,0,14957.0,17862.0,12293.0,918.0,2202.0,1435.0,2445.0,2203.0,1370.0,1,0,0,0,0,0,0
2023-02-14,16850.0,23947.08,1570.0,2,14,0,0,17477.0,18771.0,15294.0,1136.0,762.0,510.0,2098.0,2008.0,726.0,0,1,0,0,0,0,0
2023-02-15,19403.0,1695.0,640.0,2,15,0,0,16850.0,18141.0,13783.0,1570.0,495.0,4625.0,23947.08,4136.0,1774.0,0,0,1,0,0,0,0
2023-02-16,19452.0,830.0,428.5,2,16,0,0,19403.0,18550.0,17330.0,640.0,1365.0,525.0,1695.0,1464.0,2472.0,0,0,0,1,0,0,0
2023-02-17,18313.0,11107.76,1380.0,2,17,1,0,19452.0,20402.0,17257.0,428.5,782.0,1055.0,830.0,15187.92,765.0,0,0,0,0,1,0,0
2023-02-18,14888.0,1086.0,787.0,2,18,1,0,18313.0,16293.0,18672.0,1380.0,357.0,160.0,11107.76,2092.0,1181.0,0,0,0,0,0,1,0
2023-02-19,17090.0,1487.0,1061.0,2,19,0,0,14888.0,14957.0,14022.0,787.0,918.0,258.0,1086.0,2445.0,10776.56,0,0,0,0,0,0,1
