Date,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-01-31,472.0,16218.25,1326.0,1,31,1,0,0,18016.25,14744.75,10335.25,10204.9,0.0,335.0,0.0,2399.25,479.8,763.0,12345.5,9520.45,9441.9
2023-02-01,216.0,9263.0,2467.5,2,1,2,0,0,11946.5,18016.25,14271.65,14174.9,472.0,333.0,397.0,1326.0,1644.75,546.0,16218.25,12293.9,13231.9
2023-02-02,200.0,11777.75,1961.25,2,2,3,0,0,13939.0,11946.5,11265.5,12845.55,216.0,170.0,440.0,2467.5,1362.5,693.0,9263.0,9733.0,11712.55
2023-02-03,153.0,18950.2,1316.0,2,3,4,1,0,20419.2,13939.0,14365.75,16133.3,200.0,492.5,175.5,1961.25,3979.75,839.5,11777.75,9893.5,15118.3
2023-02-04,0.0,7786.75,1237.0,2,4,5,1,0,9023.75,20419.2,15362.0,11673.25,153.0,0.0,0.0,1316.0,2108.0,707.0,18950.2,13254.0,10966.25
2023-02-05,100.0,15599.5,829.0,2,5,6,0,0,16528.5,9023.75,13868.25,12021.0,0.0,280.0,625.0,1237.0,1373.0,1571.75,7786.75,12215.25,9824.25
2023-02-06,105.0,14742.5,1413.0,2,6,0,0,0,16260.5,16528.5,14744.75,12164.5,100.0,0.0,0.0,829.0,2399.25,1019.0,15599.5,12345.5,11145.5
2023-02-07,0.0,14344.0,773.5,2,7,1,0,0,15117.5,16260.5,18016.25,9477.5,105.0,472.0,275.0,1413.0,1326.0,1521.0,14742.5,16218.25,7681.5
2023-02-08,0.0,10748.0,389.0,2,8,2,0,0,11137.0,15117.5,11946.5,7101.5,0.0,216.0,50.0,773.5,2467.5,1062.5,14344.0,9263.0,5989.0
2023-02-09,0.0,11124.85,1473.0,2,9,3,0,0,12597.85,11137.0,13939.0,7085.5,0.0,200.0,570.0,389.0,1961.25,566.5,10748.0,11777.75,5949.0
2023-02-10,0.0,9120.35,625.0,2,10,4,1,0,9745.35,12597.85,20419.2,10023.7,0.0,153.0,0.0,1473.0,1316.0,1166.0,11124.85,18950.2,8857.7
2023-02-11,66.0,8513.45,302.0,2,11,5,1,0,8881.45,9745.35,9023.75,8424.75,0.0,0.0,346.0,625.0,1237.0,1738.25,9120.35,7786.75,6340.5
2023-02-12,220.0,7517.85,194.0,2,12,6,0,0,7931.85,8881.45,16528.5,9979.5,66.0,100.0,1052.0,302.0,829.0,1002.0,8513.45,15599.5,7925.5
2023-02-13,435.0,7458.25,685.0,2,13,0,0,0,8578.25,7931.85,16260.5,15309.25,220.0,105.0,1158.0,194.0,1413.0,2703.0,7517.85,14742.5,11448.25
2023-02-14,53.0,9437.5,1150.0,2,14,1,0,0,10640.5,8578.25,15117.5,10723.25,435.0,0.0,340.0,685.0,773.5,1731.0,7458.25,14344.0,8652.25
2023-02-15,155.25,10877.45,1065.0,2,15,2,0,0,12097.7,10640.5,11137.0,8504.7,53.0,0.0,0.0,1150.0,389.0,509.0,9437.5,10748.0,7995.7
2023-02-16,35.0,11871.0,1046.0,2,16,3,0,0,12952.0,12097.7,12597.85,8758.75,155.25,0.0,345.0,1065.0,1473.0,285.0,10877.45,11124.85,8128.75
2023-02-17,1425.0,17790.45,1507.0,2,17,4,1,0,20722.45,12952.0,9745.35,7400.75,35.0,0.0,195.0,1046.0,625.0,1124.0,11871.0,9120.35,6081.75
2023-02-18,200.0,9475.45,2039.0,2,18,5,1,0,11714.45,20722.45,8881.45,11036.75,1425.0,66.0,0.0,1507.0,302.0,1262.25,17790.45,8513.45,9774.5
2023-02-19,70.0,11197.5,2627.0,2,19,6,0,0,13894.5,11714.45,7931.85,13160.5,200.0,220.0,180.0,2039.0,194.0,2020.0,9475.45,7517.85,10960.5
2023-02-20,152.5,12545.2,1691.75,2,20,0,0,0,14389.45,13894.5,8578.25,10362.25,70.0,435.0,250.0,2627.0,685.0,1101.5,11197.5,7458.25,9010.75
2023-02-21,414.5,17937.3,2569.5,2,21,1,0,0,20921.3,14389.45,10640.5,11231.25,152.5,53.0,0.0,1691.75,1150.0,2426.0,12545.2,9437.5,8805.25
2023-02-22,43.0,15100.7,2447.25,2,22,2,0,0,17590.95,20921.3,12097.7,9875.25,414.5,155.25,500.0,2569.5,1065.0,2871.0,17937.3,10877.45,6504.25
2023-02-23,120.0,15985.4,1881.0,2,23,3,0,0,17986.4,17590.95,12952.0,10335.25,43.0,35.0,335.0,2447.25,1046.0,479.8,15100.7,11871.0,9520.45
2023-02-24,35.0,16917.25,1353.0,2,24,4,1,0,18305.25,17986.4,20722.45,14271.65,120.0,1425.0,333.0,1881.0,1507.0,1644.75,15985.4,17790.45,12293.9
2023-02-25,740.0,13359.4,1023.0,2,25,5,1,0,15122.4,18305.25,11714.45,11265.5,35.0,200.0,170.0,1353.0,2039.0,1362.5,16917.25,9475.45,9733.0
2023-02-26,404.0,8232.0,624.5,2,26,6,0,0,9260.5,15122.4,13894.5,14365.75,740.0,70.0,492.5,1023.0,2627.0,3979.75,13359.4,11197.5,9893.5
