Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-02-12,0.0,32.0,18.0,2,12,0,0,34.0,0.0,17.0,0.0,0.0,164.0,32.0,75.0,0.0,0,0,0,0,0,0,1
2023-02-13,0.0,43.0,0.0,2,13,0,0,0.0,0.0,626.0,18.0,76.0,0.0,32.0,50.0,0.0,1,0,0,0,0,0,0
2023-02-14,54.0,22.0,74.0,2,14,0,0,0.0,16.0,86.0,0.0,100.0,0.0,43.0,17.0,0.0,0,1,0,0,0,0,0
2023-02-15,0.0,41.0,0.0,2,15,0,0,54.0,54.0,308.0,74.0,0.0,0.0,22.0,250.0,0.0,0,0,1,0,0,0,0
2023-02-16,71.0,0.0,0.0,2,16,0,0,0.0,0.0,0.0,0.0,20.0,306.0,41.0,128.0,0.0,0,0,0,1,0,0,0
2023-02-17,188.0,0.0,18.0,2,17,1,0,71.0,138.0,0.0,0.0,9.0,0.0,0.0,126.0,0.0,0,0,0,0,1,0,0
2023-02-18,0.0,79.0,12.0,2,18,1,0,188.0,34.0,0.0,18.0,0.0,0.0,0.0,32.0,0.0,0,0,0,0,0,1,0
2023-02-19,0.0,148.0,0.0,2,19,0,0,0.0,0.0,0.0,12.0,18.0,0.0,79.0,32.0,50.0,0,0,0,0,0,0,1
2023-02-20,0.0,57.0,0.0,2,20,0,0,0.0,0.0,0.0,0.0,0.0,237.0,148.0,43.0,0.0,1,0,0,0,0,0,0
2023-02-21,120.0,12.0,9.0,2,21,0,0,0.0,54.0,51.0,0.0,74.0,0.0,57.0,22.0,21.0,0,1,0,0,0,0,0
2023-02-22,104.0,88.0,0.0,2,22,0,0,120.0,0.0,0.0,9.0,0.0,82.0,12.0,41.0,0.0,0,0,1,0,0,0,0
2023-02-23,84.0,28.0,0.0,2,23,0,0,104.0,71.0,0.0,0.0,0.0,16.0,88.0,0.0,280.0,0,0,0,1,0,0,0
2023-02-24,160.0,12.0,75.0,2,24,1,0,84.0,188.0,64.0,0.0,18.0,0.0,28.0,0.0,16.0,0,0,0,0,1,0,0
2023-02-25,46.0,52.0,0.0,2,25,1,0,160.0,0.0,0.0,75.0,12.0,0.0,12.0,79.0,0.0,0,0,0,0,0,1,0
2023-02-26,66.0,197.0,41.0,2,26,0,0,46.0,0.0,500.0,0.0,0.0,0.0,52.0,148.0,6.0,0,0,0,0,0,0,1
2023-02-27,0.0,40.0,25.0,2,27,0,0,66.0,0.0,25.0,41.0,0.0,0.0,197.0,57.0,289.0,1,0,0,0,0,0,0
2023-02-28,32.0,100.0,70.0,2,28,0,0,0.0,120.0,0.0,25.0,9.0,0.0,40.0,12.0,16.0,0,1,0,0,0,0,0
2023-03-01,5.0,200.0,0.0,3,1,0,0,32.0,104.0,567.0,70.0,0.0,75.0,100.0,88.0,25.0,0,0,1,0,0,0,0
2023-03-02,61.0,87.0,102.0,3,2,0,0,5.0,84.0,0.0,0.0,0.0,28.0,200.0,28.0,0.0,0,0,0,1,0,0,0
2023-03-03,123.0,75.0,16.0,3,3,1,0,61.0,160.0,117.0,102.0,75.0,0.0,87.0,12.0,147.0,0,0,0,0,1,0,0
2023-03-04,9.0,0.0,0.0,3,4,1,0,123.0,46.0,5.0,16.0,0.0,0.0,75.0,52.0,202.0,0,0,0,0,0,1,0
2023-03-05,9.0,0.0,9.0,3,5,0,0,9.0,66.0,0.0,0.0,41.0,58.0,0.0,197.0,52.0,0,0,0,0,0,0,1
2023-03-06,137.0,16.0,50.0,3,6,0,0,9.0,0.0,25.0,9.0,25.0,0.0,0.0,40.0,0.0,1,0,0,0,0,0,0
2023-03-07,12.0,84.0,0.0,3,7,0,0,137.0,32.0,0.0,50.0,70.0,0.0,16.0,100.0,75.0,0,1,0,0,0,0,0
2023-03-08,219.0,112.0,16.0,3,8,0,0,12.0,5.0,0.0,0.0,0.0,76.0,84.0,200.0,50.0,0,0,1,0,0,0,0
2023-03-09,25.0,0.0,84.0,3,9,0,0,219.0,61.0,16.0,16.0,102.0,100.0,112.0,87.0,17.0,0,0,0,1,0,0,0
2023-03-10,17.0,74.0,0.0,3,10,1,0,25.0,123.0,54.0,84.0,16.0,0.0,0.0,75.0,250.0,0,0,0,0,1,0,0
2023-03-11,9.0,196.0,35.0,3,11,1,0,17.0,9.0,0.0,0.0,0.0,20.0,74.0,0.0,128.0,0,0,0,0,0,1,0
2023-03-12,0.0,0.0,47.0,3,12,0,0,9.0,9.0,138.0,35.0,9.0,9.0,196.0,0.0,126.0,0,0,0,0,0,0,1
2023-03-13,0.0,86.0,0.0,3,13,0,0,0.0,137.0,34.0,47.0,50.0,0.0,0.0,16.0,32.0,1,0,0,0,0,0,0
2023-03-14,54.0,6.0,0.0,3,14,0,0,0.0,12.0,0.0,0.0,0.0,18.0,86.0,84.0,32.0,0,1,0,0,0,0,0
