Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-01-31,672.0,1785.0,511.0,1,31,0,0,575.0,190.0,35.0,540.0,348.0,30.0,165.0,310.0,407.0,0,1,0,0,0,0,0
2023-02-01,684.0,480.0,1521.0,2,1,0,0,672.0,778.0,608.5,511.0,855.5,136.0,1785.0,96.0,398.5,0,0,1,0,0,0,0
2023-02-02,389.5,860.5,700.0,2,2,0,0,684.0,335.0,234.0,1521.0,735.0,594.0,480.0,498.0,70.0,0,0,0,1,0,0,0
2023-02-03,271.0,519.0,487.0,2,3,1,0,389.5,397.0,72.0,700.0,60.0,195.0,860.5,413.0,231.0,0,0,0,0,1,0,0
2023-02-04,143.5,290.0,792.0,2,4,1,0,271.0,331.0,704.0,487.0,426.0,136.0,519.0,430.0,139.0,0,0,0,0,0,1,0
2023-02-05,250.0,336.0,122.5,2,5,0,0,143.5,162.0,97.0,792.0,539.0,237.0,290.0,297.0,90.0,0,0,0,0,0,0,1
2023-02-06,574.0,824.0,75.0,2,6,0,0,250.0,575.0,120.0,122.5,540.0,480.0,336.0,165.0,308.0,1,0,0,0,0,0,0
2023-02-07,393.0,503.0,319.5,2,7,0,0,574.0,672.0,254.0,75.0,511.0,418.0,824.0,1785.0,371.0,0,1,0,0,0,0,0
2023-02-08,518.5,97.0,238.0,2,8,0,0,393.0,684.0,218.0,319.5,1521.0,157.0,503.0,480.0,81.0,0,0,1,0,0,0,0
2023-02-09,1135.0,232.0,180.0,2,9,0,0,518.5,389.5,509.0,238.0,700.0,982.5,97.0,860.5,282.0,0,0,0,1,0,0,0
2023-02-10,462.0,1063.0,504.5,2,10,1,0,1135.0,271.0,325.0,180.0,487.0,225.0,232.0,519.0,1143.0,0,0,0,0,1,0,0
2023-02-11,431.0,764.0,498.0,2,11,1,0,462.0,143.5,466.0,504.5,792.0,339.0,1063.0,290.0,309.0,0,0,0,0,0,1,0
2023-02-12,880.0,296.0,503.5,2,12,0,0,431.0,250.0,262.5,498.0,122.5,618.0,764.0,336.0,984.0,0,0,0,0,0,0,1
2023-02-13,245.0,165.0,1564.0,2,13,0,0,880.0,574.0,50.0,503.5,75.0,377.0,296.0,824.0,677.5,1,0,0,0,0,0,0
2023-02-14,621.0,165.0,254.0,2,14,0,0,245.0,393.0,35.0,1564.0,319.5,250.0,165.0,503.0,494.0,0,1,0,0,0,0,0
2023-02-15,290.0,173.5,1063.0,2,15,0,0,621.0,518.5,236.0,254.0,238.0,868.0,165.0,97.0,457.0,0,0,1,0,0,0,0
2023-02-16,411.5,512.0,584.5,2,16,0,0,290.0,1135.0,210.0,1063.0,180.0,240.0,173.5,232.0,267.0,0,0,0,1,0,0,0
2023-02-17,526.0,176.0,117.0,2,17,1,0,411.5,462.0,447.0,584.5,504.5,433.5,512.0,1063.0,341.0,0,0,0,0,1,0,0
2023-02-18,197.0,464.0,281.0,2,18,1,0,526.0,431.0,594.0,117.0,498.0,898.0,176.0,764.0,300.0,0,0,0,0,0,1,0
2023-02-19,233.0,346.5,349.0,2,19,0,0,197.0,880.0,56.0,281.0,503.5,155.0,464.0,296.0,249.5,0,0,0,0,0,0,1
