Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6,BreakFast_lag_2d,BreakFast_lag_3d,BreakFast_lag_7d,BreakFast_lag_14d,BreakFast_lag_21d,BreakFast_lag_28d,BreakFast_roll_mean_3,BreakFast_roll_mean_7,BreakFast_roll_mean_14,BreakFast_roll_mean_30,BreakFast_roll_std_7,BreakFast_roll_std_30,BreakFast_ema_7,BreakFast_ema_30,Holiday_Yesterday,Holiday_LastWeek
2023-03-05,278.0,281.5,963.0,3,5,0,0,344.5,42.5,74.0,1495.75,349.0,30.0,776.0,665.0,494.0,0,0,0,0,0,0,1,117.0,203.0,42.5,256.0,338.0,424.0,221.5,299.0,243.85714285714286,282.76666666666665,236.94637227299634,250.93211519608573,269.29933206727867,245.03329097449893,0.0,0.0
2023-03-06,235.0,173.0,950.0,3,6,0,0,278.0,672.0,60.0,963.0,381.0,182.0,281.5,970.0,600.0,1,0,0,0,0,0,0,344.5,117.0,672.0,0.0,1228.0,477.0,246.5,332.64285714285717,245.42857142857142,289.56666666666666,209.59777238910775,247.82452542534782,271.47449905045903,247.16017542775708,0.0,0.0
2023-03-07,1004.0,327.5,332.0,3,7,0,0,235.0,558.0,424.0,950.0,1062.0,340.0,173.0,1027.0,0.0,0,1,0,0,0,0,0,278.0,344.5,558.0,0.0,85.0,248.0,285.8333333333333,270.2142857142857,262.2142857142857,295.4,147.57875218078695,244.268697445506,262.35587428784424,246.375647980805,0.0,0.0
2023-03-08,371.0,528.0,1024.0,3,8,0,0,1004.0,156.0,477.0,332.0,361.0,116.0,327.5,40.0,30.0,0,0,1,0,0,0,0,235.0,278.0,156.0,120.0,369.0,412.0,505.6666666666667,333.92857142857144,333.92857142857144,314.73333333333335,304.92655243673414,275.72546107506554,447.7669057158832,295.2546384336563,0.0,0.0
2023-03-09,252.0,695.5,96.0,3,9,0,0,371.0,203.0,248.0,1024.0,438.0,380.0,528.0,1126.0,327.0,0,0,0,1,0,0,0,1004.0,235.0,203.0,404.0,80.0,280.0,536.6666666666666,364.64285714285717,351.85714285714283,311.2,294.6730835866693,274.249590575874,428.5751792869124,300.14143595406557,0.0,0.0
2023-03-10,290.0,231.0,286.5,3,10,1,0,252.0,117.0,412.0,96.0,35.0,535.0,695.5,458.0,457.25,0,0,0,0,1,0,0,371.0,1004.0,117.0,293.0,86.0,431.0,542.3333333333334,371.64285714285717,341.0,311.3333333333333,290.74913503535913,274.21877539951424,384.4313844651843,297.0355368602549,0.0,0.0
2023-03-11,838.5,734.0,1321.0,3,11,1,0,290.0,344.5,280.0,286.5,1495.75,734.0,231.0,776.0,791.0,0,0,0,0,0,1,0,252.0,371.0,344.5,248.0,56.0,421.0,304.3333333333333,396.35714285714283,340.7857142857143,307.26666666666665,272.2613196737212,273.57829155325066,360.82353834888823,296.58163125636753,0.0,0.0
2023-03-12,472.0,320.0,883.5,3,12,0,0,838.5,278.0,431.0,1321.0,963.0,535.0,734.0,281.5,176.0,0,0,0,0,0,0,1,290.0,252.0,278.0,42.5,256.0,338.0,460.1666666666667,466.92857142857144,382.9642857142857,325.8833333333333,316.93748444704204,290.15901357862305,480.2426537616662,331.5441066591825,0.0,0.0
2023-03-13,318.0,1485.0,115.5,3,13,0,0,472.0,235.0,421.0,883.5,950.0,796.5,320.0,173.0,642.0,1,0,0,0,0,0,0,838.5,290.0,235.0,672.0,0.0,1228.0,533.5,494.64285714285717,413.64285714285717,327.25,305.9551593351704,290.76711115776914,478.18199032124966,340.60577719729974,0.0,0.0
2023-03-14,833.25,4742.0,410.0,3,14,0,0,318.0,1004.0,338.0,115.5,332.0,764.0,1485.0,327.5,70.0,0,1,0,0,0,0,0,472.0,838.5,1004.0,558.0,0.0,85.0,542.8333333333334,506.5,388.35714285714283,323.81666666666666,295.6505538638478,290.22956084538623,438.13649274093723,339.1473399587643,0.0,0.0
2023-03-15,0.0,1140.0,899.0,3,15,0,0,833.25,371.0,1228.0,410.0,1024.0,210.0,4742.0,528.0,1354.5,0,0,1,0,0,0,0,318.0,472.0,371.0,156.0,120.0,369.0,541.0833333333334,482.10714285714283,408.01785714285717,340.325,251.51200506233525,304.7841601317913,536.9148695557029,371.0249309291666,0.0,0.0
2023-03-16,164.5,25005.0,170.0,3,16,0,0,0.0,252.0,85.0,899.0,96.0,438.0,1140.0,695.5,1050.0,0,0,0,1,0,0,0,833.25,318.0,252.0,203.0,404.0,80.0,383.75,429.10714285714283,396.875,299.39166666666665,310.90438834226217,260.7347846862829,402.6861521667772,347.08783861115586,0.0,0.0
2023-03-17,260.0,400.0,1164.5,3,17,1,0,164.5,290.0,369.0,170.0,286.5,483.0,25005.0,231.0,472.5,0,0,0,0,1,0,0,0.0,833.25,290.0,117.0,293.0,86.0,332.5833333333333,416.60714285714283,394.125,302.0416666666667,320.8128951436899,258.87805080149536,343.1396141250829,335.30797805559746,0.0,0.0
