Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6,BreakFast_lag_2d,BreakFast_lag_3d,BreakFast_lag_7d,BreakFast_lag_14d,BreakFast_lag_21d,BreakFast_lag_28d,BreakFast_roll_mean_3,BreakFast_roll_mean_7,BreakFast_roll_mean_14,BreakFast_roll_mean_30,BreakFast_roll_std_7,BreakFast_roll_std_30,BreakFast_ema_7,BreakFast_ema_30,Holiday_Yesterday,Holiday_LastWeek
2023-03-14,54.0,6.0,0.0,3,14,0,0,0.0,12.0,0.0,0.0,0.0,18.0,86.0,84.0,32.0,0,1,0,0,0,0,0,0.0,9.0,12.0,32.0,120.0,54.0,3.0,40.285714285714285,47.0,51.7,79.30891981299935,63.07857716017161,27.160027788756864,41.81639228587227,0.0,0.0
2023-03-15,109.0,0.0,21.0,3,15,0,0,54.0,219.0,0.0,0.0,16.0,0.0,6.0,112.0,43.0,0,0,1,0,0,0,0,0.0,0.0,219.0,5.0,104.0,0.0,18.0,46.285714285714285,48.57142857142857,53.5,78.39582107424324,62.31828756887693,33.87002084156765,42.60243149323535,0.0,0.0
2023-03-16,0.0,140.0,50.0,3,16,0,0,109.0,25.0,54.0,21.0,84.0,74.0,0.0,0.0,22.0,0,0,0,1,0,0,0,54.0,0.0,25.0,61.0,84.0,71.0,54.333333333333336,30.571428571428573,56.0,57.13333333333333,39.26345689848318,62.26901223768907,52.65251563117574,46.88614559044598,0.0,0.0
2023-03-17,65.0,127.0,16.0,3,17,1,0,0.0,17.0,0.0,50.0,0.0,0.0,140.0,74.0,41.0,0,0,0,0,1,0,0,109.0,54.0,17.0,123.0,160.0,188.0,54.333333333333336,27.0,51.642857142857146,55.333333333333336,40.955260142420435,63.137143193010495,39.489386723381806,43.86123297170753,0.0,0.0
2023-03-18,0.0,42.0,0.0,3,18,1,0,65.0,9.0,71.0,16.0,35.0,0.0,127.0,196.0,0.0,0,0,0,0,0,1,0,0.0,109.0,9.0,9.0,46.0,0.0,58.0,33.857142857142854,47.5,57.5,42.970643356554355,62.2823105455839,45.86704004253635,45.22502439288769,0.0,0.0
2023-03-19,0.0,62.0,25.0,3,19,0,0,0.0,0.0,188.0,0.0,47.0,18.0,42.0,0.0,0.0,0,0,0,0,0,0,1,65.0,0.0,0.0,9.0,66.0,0.0,21.666666666666668,32.57142857142857,46.857142857142854,55.13333333333333,43.96156329817044,63.095293738550914,34.40028003190226,42.30728088366913,0.0,0.0
2023-03-20,0.0,84.0,22.0,3,20,0,0,0.0,0.0,0.0,25.0,0.0,12.0,62.0,86.0,79.0,1,0,0,0,0,0,0,0.0,65.0,0.0,137.0,0.0,0.0,21.666666666666668,32.57142857142857,46.214285714285715,48.86666666666667,43.96156329817044,58.62136443154569,25.800210023926695,39.57777889117435,0.0,0.0
2023-03-21,0.0,144.0,22.0,3,21,0,0,0.0,54.0,0.0,22.0,0.0,0.0,84.0,6.0,148.0,0,1,0,0,0,0,0,0.0,0.0,54.0,12.0,32.0,120.0,0.0,32.57142857142857,36.42857142857143,48.86666666666667,43.96156329817044,58.62136443154569,19.35015751794502,37.02437380142116,0.0,0.0
2023-03-22,16.0,197.0,0.0,3,22,0,0,0.0,109.0,0.0,22.0,21.0,0.0,144.0,0.0,57.0,0,0,1,0,0,0,0,0.0,0.0,109.0,219.0,5.0,104.0,0.0,24.857142857142858,35.57142857142857,48.86666666666667,44.31112942000225,58.62136443154569,14.512618138458766,34.63570452391012,0.0,0.0
2023-03-23,0.0,0.0,50.0,3,23,0,0,16.0,0.0,120.0,0.0,50.0,9.0,197.0,140.0,12.0,0,0,0,1,0,0,0,0.0,0.0,0.0,25.0,61.0,84.0,5.333333333333333,11.571428571428571,21.071428571428573,49.4,24.302655155744738,58.232944817078966,14.884463603844075,33.433401006238505,0.0,0.0
2023-03-24,5.0,0.0,0.0,3,24,1,0,0.0,65.0,104.0,50.0,16.0,0.0,0.0,127.0,88.0,0,0,0,0,1,0,0,16.0,0.0,65.0,17.0,123.0,160.0,5.333333333333333,11.571428571428571,19.285714285714285,45.4,24.302655155744738,57.33062009083801,11.163347702883057,31.276407392932796,0.0,0.0
2023-03-25,30.0,0.0,0.0,3,25,1,0,5.0,0.0,84.0,0.0,0.0,0.0,0.0,42.0,28.0,0,0,0,0,0,1,0,0.0,16.0,0.0,9.0,9.0,46.0,7.0,3.0,18.428571428571427,42.1,6.027713773341597,56.68688956254225,9.622510777162292,29.58115530306617,0.0,0.0
2023-03-26,9.0,138.0,0.0,3,26,0,0,30.0,0.0,160.0,0.0,25.0,75.0,0.0,62.0,12.0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,9.0,66.0,11.666666666666666,7.285714285714286,19.928571428571427,40.3,11.614850920470763,56.16548823757803,14.71688308287172,29.60817754157803,0.0,0.0
2023-03-27,0.0,156.0,0.0,3,27,0,0,9.0,0.0,46.0,0.0,22.0,0.0,138.0,84.0,52.0,1,0,0,0,0,0,0,30.0,5.0,0.0,0.0,137.0,0.0,14.666666666666666,8.571428571428571,20.571428571428573,35.266666666666666,11.163290178932295,51.653309359769885,13.28766231215379,28.2786177001859,0.0,0.0
