Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6,BreakFast_lag_2d,BreakFast_lag_3d,BreakFast_lag_7d,BreakFast_lag_14d,BreakFast_lag_21d,BreakFast_lag_28d,BreakFast_roll_mean_3,BreakFast_roll_mean_7,BreakFast_roll_mean_14,BreakFast_roll_mean_30,BreakFast_roll_std_7,BreakFast_roll_std_30,BreakFast_ema_7,BreakFast_ema_30,Holiday_Yesterday,Holiday_LastWeek,RevenueCenterID
2023-03-04,19767.0,3255.0,555.5,3,4,1,0,18402.0,5112.0,16773.0,260.0,400.0,3682.0,15048.76,3520.0,7078.0,0,0,0,0,0,1,0,18635.0,17431.0,5112.0,14888.0,16293.0,16846.0,18156.0,16107.214285714286,16841.10714285714,17316.483333333334,4939.51188426163,2791.1132820365638,17446.687731640126,17405.542285623436,0.0,0.0,4
2023-03-04,0.0,235.0,0.0,3,4,1,0,100.0,305.0,20.0,35.0,0.0,125.0,175.0,330.0,0.0,0,0,0,0,0,1,0,310.0,205.0,305.0,45.0,20.0,20.0,205.0,177.85714285714286,98.57142857142856,101.5,126.25559865002494,112.62655716708356,154.08686703495846,151.58915055194677,0.0,0.0,8
2023-03-05,839.0,4099.5,632.1,3,5,0,0,275.0,1498.4,968.0,674.8,573.0,565.0,1927.5,2626.0,1896.0,0,0,0,0,0,0,1,50.0,88.0,1498.4,1505.0,997.0,886.4,137.66666666666666,692.4714285714284,837.5928571428573,999.56,569.9610241478088,537.4929225516402,520.64678004582,822.3082451035972,0.0,0.0,0
2023-03-05,1780.0,579.0,495.0,3,5,0,0,263.0,247.0,271.0,453.0,577.0,487.0,651.0,192.0,519.0,0,0,0,0,0,0,1,716.0,706.5,247.0,233.0,880.0,250.0,561.8333333333334,400.5,511.25,483.53333333333336,231.5439123219035,281.70052982865883,478.5533428132428,514.9202403432515,0.0,0.0,1
2023-03-05,0.0,11364.6,740.0,3,5,0,0,348.0,404.0,153.0,1701.75,624.5,1316.0,8172.2,8232.0,18950.2,0,0,0,0,0,0,1,1206.0,209.0,404.0,70.0,220.0,100.0,587.6666666666666,370.6428571428572,297.82142857142856,237.225,386.8107541470499,338.41997443240194,440.4910963117586,321.95843947462544,0.0,0.0,2
2023-03-05,19031.0,2532.0,250.0,3,5,0,0,19767.0,19405.0,17295.0,555.5,730.0,407.0,3255.0,2178.0,10907.52,0,0,0,0,0,0,1,18402.0,18635.0,19405.0,17090.0,14957.0,16334.0,18934.666666666668,18200.785714285717,17189.60714285714,17416.283333333333,1169.8056055438951,2824.33967773529,18026.76579873009,17557.894396228377,0.0,0.0,4
2023-03-05,278.0,281.5,963.0,3,5,0,0,344.5,42.5,74.0,1495.75,349.0,30.0,776.0,665.0,494.0,0,0,0,0,0,0,1,117.0,203.0,42.5,256.0,338.0,424.0,221.5,299.0,243.8571428571429,282.76666666666665,236.94637227299637,250.93211519608573,269.29933206727867,245.03329097449893,0.0,0.0,5
2023-03-05,765.0,160.0,70.0,3,5,0,0,0.0,55.0,100.0,0.0,460.0,455.0,235.0,105.0,0.0,0,0,0,0,0,0,1,100.0,310.0,55.0,55.0,35.0,0.0,136.66666666666666,134.28571428571428,95.35714285714286,100.83333333333331,127.68543937572296,113.1834285827529,115.56515027621884,141.809205355047,0.0,0.0,8
2023-03-06,766.0,2249.5,385.0,3,6,0,0,839.0,956.9,1994.0,632.1,575.0,247.0,4099.5,1937.8,2686.0,1,0,0,0,0,0,0,275.0,50.0,956.9,578.0,924.0,1550.4,388.0,598.2714285714285,790.0214285714286,995.26,458.0698080507152,538.2695579033959,600.235085034365,823.3851325162684,0.0,0.0,0
2023-03-06,195.0,525.0,595.0,3,6,0,0,1780.0,401.0,143.5,495.0,353.0,792.0,579.0,853.5,290.0,1,0,0,0,0,0,0,263.0,716.0,401.0,574.0,245.0,574.0,919.6666666666666,619.5,621.75,533.8333333333334,557.5850458300808,364.8832201784786,803.915007109932,596.5382893533643,0.0,0.0,1
