Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,BreakFast,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m
2023-04-15,RevenueCenter_1,4,5,1,0,580.0,557.0,414.0,274.5
2023-04-16,RevenueCenter_1,4,6,0,0,251.0,580.0,101.0,1188.0
2023-04-17,RevenueCenter_1,4,0,0,0,436.0,251.0,857.0,590.0
2023-04-18,RevenueCenter_1,4,1,0,0,364.0,436.0,114.0,629.0
2023-04-19,RevenueCenter_1,4,2,0,0,324.0,364.0,248.0,356.0
2023-04-20,RevenueCenter_1,4,3,0,1,753.0,324.0,782.0,449.0
2023-04-21,RevenueCenter_1,4,4,1,1,408.0,753.0,557.0,244.0
2023-04-22,RevenueCenter_1,4,5,1,1,544.0,408.0,580.0,536.0
2023-04-23,RevenueCenter_1,4,6,0,1,518.0,544.0,251.0,344.0
2023-04-24,RevenueCenter_1,4,0,0,0,1381.0,518.0,436.0,100.0
2023-04-25,RevenueCenter_1,4,1,0,0,1355.25,1381.0,364.0,604.0
2023-04-26,RevenueCenter_1,4,2,0,0,492.0,1355.25,324.0,262.0
2023-04-27,RevenueCenter_1,4,3,0,0,1340.0,492.0,753.0,519.0
2023-04-28,RevenueCenter_1,4,4,1,0,1238.75,1340.0,408.0,305.0
2023-04-29,RevenueCenter_1,4,5,1,0,1059.5,1238.75,544.0,92.0
2023-04-30,RevenueCenter_1,4,6,0,0,649.0,1059.5,518.0,160.0
2023-05-01,RevenueCenter_1,5,0,0,0,497.0,649.0,1381.0,407.0
2023-05-02,RevenueCenter_1,5,1,0,0,247.9,497.0,1355.25,297.0
2023-05-03,RevenueCenter_1,5,2,0,0,477.9,247.9,492.0,0.0
2023-05-04,RevenueCenter_1,5,3,0,0,554.0,477.9,1340.0,45.0
2023-05-05,RevenueCenter_1,5,4,1,0,337.0,554.0,1238.75,266.0
2023-05-06,RevenueCenter_1,5,5,1,0,981.0,337.0,1059.5,1094.0
2023-05-07,RevenueCenter_1,5,6,0,0,702.5,981.0,649.0,554.0
2023-05-08,RevenueCenter_1,5,0,0,0,1199.0,702.5,497.0,414.0
2023-05-09,RevenueCenter_1,5,1,0,0,244.0,1199.0,247.9,101.0
2023-05-10,RevenueCenter_1,5,2,0,0,362.0,244.0,477.9,857.0
2023-05-11,RevenueCenter_1,5,3,0,0,648.0,362.0,554.0,114.0
2023-05-12,RevenueCenter_1,5,4,1,0,812.0,648.0,337.0,248.0
2023-05-13,RevenueCenter_1,5,5,1,0,303.0,812.0,981.0,782.0
2023-05-14,RevenueCenter_1,5,6,0,0,522.0,303.0,702.5,557.0
2023-05-15,RevenueCenter_1,5,0,0,0,1574.0,522.0,1199.0,580.0
2023-05-16,RevenueCenter_1,5,1,0,0,322.9,1574.0,244.0,251.0
2023-05-17,RevenueCenter_1,5,2,0,0,1451.0,322.9,362.0,436.0
2023-05-18,RevenueCenter_1,5,3,0,0,114.0,1451.0,648.0,364.0
2023-05-19,RevenueCenter_1,5,4,1,0,746.0,114.0,812.0,324.0
2023-05-20,RevenueCenter_1,5,5,1,0,635.0,746.0,303.0,753.0
2023-05-21,RevenueCenter_1,5,6,0,0,154.0,635.0,522.0,408.0
2023-05-22,RevenueCenter_1,5,0,0,0,690.0,154.0,1574.0,544.0
2023-05-23,RevenueCenter_1,5,1,0,0,1289.0,690.0,322.9,518.0
2023-05-24,RevenueCenter_1,5,2,0,0,276.0,1289.0,1451.0,1381.0
2023-05-25,RevenueCenter_1,5,3,0,0,718.0,276.0,114.0,1355.25
2023-05-26,RevenueCenter_1,5,4,1,0,928.0,718.0,746.0,492.0
2023-05-27,RevenueCenter_1,5,5,1,0,409.0,928.0,635.0,1340.0
2023-05-28,RevenueCenter_1,5,6,0,0,1116.0,409.0,154.0,1238.75
2023-05-29,RevenueCenter_1,5,0,0,0,366.0,1116.0,690.0,1059.5
2023-05-30,RevenueCenter_1,5,1,0,0,915.0,366.0,1289.0,649.0
2023-05-31,RevenueCenter_1,5,2,0,0,1055.0,915.0,276.0,497.0
2023-06-01,RevenueCenter_1,6,3,0,0,827.0,1055.0,718.0,247.9
2023-06-02,RevenueCenter_1,6,4,1,0,176.0,827.0,928.0,477.9
2023-06-03,RevenueCenter_1,6,5,1,0,682.0,176.0,409.0,554.0
2023-06-04,RevenueCenter_1,6,6,0,0,879.0,682.0,1116.0,337.0
2023-06-05,RevenueCenter_1,6,0,0,0,964.0,879.0,366.0,981.0
2023-06-06,RevenueCenter_1,6,1,0,0,875.0,964.0,915.0,702.5
2023-06-07,RevenueCenter_1,6,2,0,0,406.0,875.0,1055.0,1199.0
2023-06-08,RevenueCenter_1,6,3,0,0,372.0,406.0,827.0,244.0
2023-06-09,RevenueCenter_1,6,4,1,0,773.0,372.0,176.0,362.0
2023-06-10,RevenueCenter_1,6,5,1,0,147.0,773.0,682.0,648.0
2023-06-11,RevenueCenter_1,6,6,0,0,473.0,147.0,879.0,812.0
2023-06-12,RevenueCenter_1,6,0,0,0,466.0,473.0,964.0,303.0
2023-06-13,RevenueCenter_1,6,1,0,0,702.0,466.0,875.0,522.0
2023-06-14,RevenueCenter_1,6,2,0,0,390.0,702.0,406.0,1574.0
2023-06-15,RevenueCenter_1,6,3,0,0,276.0,390.0,372.0,322.9
2023-06-16,RevenueCenter_1,6,4,1,0,761.0,276.0,773.0,1451.0
2023-06-17,RevenueCenter_1,6,5,1,0,518.0,761.0,147.0,114.0
2023-06-18,RevenueCenter_1,6,6,0,0,160.0,518.0,473.0,746.0
2023-06-19,RevenueCenter_1,6,0,0,0,774.5,160.0,466.0,635.0
2023-06-20,RevenueCenter_1,6,1,0,1,5.0,774.5,702.0,154.0
2023-06-21,RevenueCenter_1,6,2,0,0,596.0,5.0,390.0,690.0
2023-06-22,RevenueCenter_1,6,3,0,0,468.9,596.0,276.0,1289.0
2023-06-23,RevenueCenter_1,6,4,1,0,530.0,468.9,761.0,276.0
2023-06-24,RevenueCenter_1,6,5,1,0,995.0,530.0,518.0,718.0
2023-06-25,RevenueCenter_1,6,6,0,0,1066.0,995.0,160.0,928.0
2023-06-26,RevenueCenter_1,6,0,0,0,716.0,1066.0,774.5,409.0
2023-06-27,RevenueCenter_1,6,1,0,0,812.0,716.0,5.0,1116.0
2023-06-28,RevenueCenter_1,6,2,0,1,1648.0,812.0,596.0,366.0
2023-06-29,RevenueCenter_1,6,3,0,1,1373.0,1648.0,468.9,915.0
2023-06-30,RevenueCenter_1,6,4,1,1,1935.0,1373.0,530.0,1055.0
2023-07-01,RevenueCenter_1,7,5,1,0,448.0,1935.0,995.0,827.0
2023-07-02,RevenueCenter_1,7,6,0,0,619.0,448.0,1066.0,176.0
2023-07-03,RevenueCenter_1,7,0,0,0,1030.0,619.0,716.0,682.0
2023-07-04,RevenueCenter_1,7,1,0,0,1070.0,1030.0,812.0,879.0
2023-07-05,RevenueCenter_1,7,2,0,0,1577.0,1070.0,1648.0,964.0
2023-07-06,RevenueCenter_1,7,3,0,0,1531.0,1577.0,1373.0,875.0
2023-07-07,RevenueCenter_1,7,4,1,0,1125.0,1531.0,1935.0,406.0
2023-07-08,RevenueCenter_1,7,5,1,0,589.0,1125.0,448.0,372.0
2023-07-09,RevenueCenter_1,7,6,0,0,426.0,589.0,619.0,773.0
2023-07-10,RevenueCenter_1,7,0,0,0,604.0,426.0,1030.0,147.0
2023-07-11,RevenueCenter_1,7,1,0,0,90.0,604.0,1070.0,473.0
2023-07-12,RevenueCenter_1,7,2,0,0,1018.0,90.0,1577.0,466.0
2023-07-13,RevenueCenter_1,7,3,0,0,334.5,1018.0,1531.0,702.0
2023-07-14,RevenueCenter_1,7,4,1,0,315.0,334.5,1125.0,390.0
2023-07-15,RevenueCenter_1,7,5,1,0,1271.0,315.0,589.0,276.0
2023-07-16,RevenueCenter_1,7,6,0,0,644.0,1271.0,426.0,761.0
2023-07-17,RevenueCenter_1,7,0,0,0,773.0,644.0,604.0,518.0
2023-07-18,RevenueCenter_1,7,1,0,0,204.0,773.0,90.0,160.0
2023-07-19,RevenueCenter_1,7,2,0,0,136.0,204.0,1018.0,774.5
2023-07-20,RevenueCenter_1,7,3,0,0,738.9,136.0,334.5,5.0
2023-07-21,RevenueCenter_1,7,4,1,0,1301.9,738.9,315.0,596.0
2023-07-22,RevenueCenter_1,7,5,1,0,536.5,1301.9,1271.0,468.9
2023-07-23,RevenueCenter_1,7,6,0,0,1187.0,536.5,644.0,530.0
2023-07-24,RevenueCenter_1,7,0,0,0,172.0,1187.0,773.0,995.0
2023-07-25,RevenueCenter_1,7,1,0,0,297.0,172.0,204.0,1066.0
2023-07-26,RevenueCenter_1,7,2,0,0,852.0,297.0,136.0,716.0
2023-07-27,RevenueCenter_1,7,3,0,0,170.0,852.0,738.9,812.0
2023-07-28,RevenueCenter_1,7,4,1,0,870.4,170.0,1301.9,1648.0
2023-07-29,RevenueCenter_1,7,5,1,0,621.0,870.4,536.5,1373.0
2023-07-30,RevenueCenter_1,7,6,0,0,959.0,621.0,1187.0,1935.0
2023-07-31,RevenueCenter_1,7,0,0,0,553.0,959.0,172.0,448.0
2023-08-01,RevenueCenter_1,8,1,0,0,749.0,553.0,297.0,619.0
2023-08-02,RevenueCenter_1,8,2,0,0,520.0,749.0,852.0,1030.0
2023-08-03,RevenueCenter_1,8,3,0,0,392.0,520.0,170.0,1070.0
2023-08-04,RevenueCenter_1,8,4,1,0,305.0,392.0,870.4,1577.0
2023-08-05,RevenueCenter_1,8,5,1,0,502.0,305.0,621.0,1531.0
2023-08-06,RevenueCenter_1,8,6,0,0,836.0,502.0,959.0,1125.0
2023-08-07,RevenueCenter_1,8,0,0,0,689.0,836.0,553.0,589.0
2023-08-08,RevenueCenter_1,8,1,0,0,482.0,689.0,749.0,426.0
