Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,Lunch,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m
2023-04-15,RevenueCenter_1,4,5,1,0,85.0,711.75,605.0,390.0
2023-04-16,RevenueCenter_1,4,6,0,0,140.0,85.0,339.0,503.0
2023-04-17,RevenueCenter_1,4,0,0,0,599.0,140.0,1658.0,718.0
2023-04-18,RevenueCenter_1,4,1,0,0,234.0,599.0,970.0,365.0
2023-04-19,RevenueCenter_1,4,2,0,0,415.0,234.0,579.0,252.0
2023-04-20,RevenueCenter_1,4,3,0,1,235.0,415.0,302.5,325.0
2023-04-21,RevenueCenter_1,4,4,1,1,204.0,235.0,711.75,1267.0
2023-04-22,RevenueCenter_1,4,5,1,1,237.0,204.0,85.0,268.0
2023-04-23,RevenueCenter_1,4,6,0,1,597.0,237.0,140.0,310.0
2023-04-24,RevenueCenter_1,4,0,0,0,995.0,597.0,599.0,375.0
2023-04-25,RevenueCenter_1,4,1,0,0,523.0,995.0,234.0,539.0
2023-04-26,RevenueCenter_1,4,2,0,0,740.0,523.0,415.0,371.0
2023-04-27,RevenueCenter_1,4,3,0,0,1345.0,740.0,235.0,339.0
2023-04-28,RevenueCenter_1,4,4,1,0,264.0,1345.0,204.0,190.0
2023-04-29,RevenueCenter_1,4,5,1,0,382.0,264.0,237.0,0.0
2023-04-30,RevenueCenter_1,4,6,0,0,450.0,382.0,597.0,341.0
2023-05-01,RevenueCenter_1,5,0,0,0,40.0,450.0,995.0,0.0
2023-05-02,RevenueCenter_1,5,1,0,0,430.0,40.0,523.0,390.0
2023-05-03,RevenueCenter_1,5,2,0,0,55.0,430.0,740.0,429.0
2023-05-04,RevenueCenter_1,5,3,0,0,639.0,55.0,1345.0,499.0
2023-05-05,RevenueCenter_1,5,4,1,0,676.0,639.0,264.0,1647.0
2023-05-06,RevenueCenter_1,5,5,1,0,743.0,676.0,382.0,703.0
2023-05-07,RevenueCenter_1,5,6,0,0,108.0,743.0,450.0,1223.0
2023-05-08,RevenueCenter_1,5,0,0,0,316.0,108.0,40.0,605.0
2023-05-09,RevenueCenter_1,5,1,0,0,899.0,316.0,430.0,339.0
2023-05-10,RevenueCenter_1,5,2,0,0,420.0,899.0,55.0,1658.0
2023-05-11,RevenueCenter_1,5,3,0,0,626.0,420.0,639.0,970.0
2023-05-12,RevenueCenter_1,5,4,1,0,353.0,626.0,676.0,579.0
2023-05-13,RevenueCenter_1,5,5,1,0,619.0,353.0,743.0,302.5
2023-05-14,RevenueCenter_1,5,6,0,0,630.9,619.0,108.0,711.75
2023-05-15,RevenueCenter_1,5,0,0,0,364.0,630.9,316.0,85.0
2023-05-16,RevenueCenter_1,5,1,0,0,616.0,364.0,899.0,140.0
2023-05-17,RevenueCenter_1,5,2,0,0,472.0,616.0,420.0,599.0
2023-05-18,RevenueCenter_1,5,3,0,0,190.0,472.0,626.0,234.0
2023-05-19,RevenueCenter_1,5,4,1,0,598.0,190.0,353.0,415.0
